1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
18; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
19; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
20; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
21; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
22; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
23; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
24; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
25; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
26; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
27; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
28; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
29; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
30; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60

1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
2; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
3; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
4; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
5; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
6; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
7; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
8; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
9; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
10; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
11; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
12; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
13; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
14; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
15; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
16; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
17; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
18; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
19; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
20; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
21; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
22; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
23; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
24; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
25; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
26; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
27; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
28; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
29; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
30; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60

1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
2; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
3; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
4; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
5; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
6; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
7; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
8; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
9; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
10; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
11; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
12; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
13; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
14; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
15; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
16; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
17; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
18; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
19; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
20; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
21; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
22; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
23; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
24; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
25; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
26; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
27; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
28; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
29; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
30; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60

1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
2; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
3; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
4; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
5; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
6; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
7; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
8; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
9; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
10; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
11; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
12; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
13; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
14; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
15; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
16; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
17; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
18; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
19; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
20; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
21; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
22; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
23; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
24; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
25; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
26; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
27; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
28; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
29; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
30; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60

1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
2; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
3; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
4; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
5; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
6; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
7; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
8; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
9; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
10; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
11; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
12; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
13; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
14; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
15; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
16; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
17; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
18; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
19; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
20; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
21; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
22; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
23; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
24; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
25; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
26; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
27; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
28; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
29; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
30; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60

1; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
2; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
3; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
4; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; [inimigo5, (1350, 300)]; 60
